hora,N,NE,S,SE
2023-05-01T00,69.04,69.04,69.04,69.04
2023-05-01T01,69.04,69.04,69.04,69.04
2023-05-01T02,69.04,69.04,69.04,69.04
2023-05-01T03,69.04,69.04,69.04,69.04
2023-05-01T04,69.04,69.04,69.04,69.04
2023-05-01T05,69.04,69.04,69.04,69.04
2023-05-01T06,69.04,69.04,69.04,69.04
2023-05-01T07,69.04,69.04,69.04,69.04
2023-05-01T08,69.04,69.04,69.04,69.04
2023-05-01T09,69.04,69.04,69.04,69.04
2023-05-01T10,69.04,69.04,69.04,69.04
2023-05-01T11,69.04,69.04,69.04,69.04
2023-05-01T12,69.04,69.04,69.04,69.04
2023-05-01T13,69.04,69.04,69.04,69.04
2023-05-01T14,69.04,69.04,69.04,69.04
2023-05-01T15,69.04,69.04,69.04,69.04
2023-05-01T16,69.04,69.04,69.04,69.04
2023-05-01T17,69.04,69.04,69.04,69.04
2023-05-01T18,69.04,69.04,69.04,69.04
2023-05-01T19,69.04,69.04,69.04,69.04
2023-05-01T20,69.04,69.04,69.04,69.04
2023-05-01T21,69.04,69.04,69.04,69.04
2023-05-01T22,69.04,69.04,69.04,69.04
2023-05-01T23,69.04,69.04,69.04,69.04
2023-05-02T00,69.04,69.04,69.04,69.04
2023-05-02T01,69.04,69.04,69.04,69.04
2023-05-02T02,69.04,69.04,69.04,69.04
2023-05-02T03,69.04,69.04,69.04,69.04
2023-05-02T04,69.04,69.04,69.04,69.04
2023-05-02T05,69.04,69.04,69.04,69.04
2023-05-02T06,69.04,69.04,69.04,69.04
2023-05-02T07,69.04,69.04,69.04,69.04
2023-05-02T08,69.04,69.04,69.04,69.04
2023-05-02T09,69.04,69.04,69.04,69.04
2023-05-02T10,69.04,69.04,69.04,69.04
2023-05-02T11,69.04,69.04,69.04,69.04
2023-05-02T12,69.04,69.04,69.04,69.04
2023-05-02T13,69.04,69.04,69.04,69.04
2023-05-02T14,69.04,69.04,69.04,69.04
2023-05-02T15,69.04,69.04,69.04,69.04
2023-05-02T16,69.04,69.04,69.04,69.04
2023-05-02T17,69.04,69.04,69.04,69.04
2023-05-02T18,69.04,69.04,69.04,69.04
2023-05-02T19,69.04,69.04,69.04,69.04
2023-05-02T20,69.04,69.04,69.04,69.04
2023-05-02T21,69.04,69.04,69.04,69.04
2023-05-02T22,69.04,69.04,69.04,69.04
2023-05-02T23,69.04,69.04,69.04,69.04
2023-05-03T00,69.04,69.04,69.04,69.04
2023-05-03T01,69.04,69.04,69.04,69.04
2023-05-03T02,69.04,69.04,69.04,69.04
2023-05-03T03,69.04,69.04,69.04,69.04
2023-05-03T04,69.04,69.04,69.04,69.04
2023-05-03T05,69.04,69.04,69.04,69.04
2023-05-03T06,69.04,69.04,69.04,69.04
2023-05-03T07,69.04,69.04,69.04,69.04
2023-05-03T08,69.04,69.04,69.04,69.04
2023-05-03T09,69.04,69.04,69.04,69.04
2023-05-03T10,69.04,69.04,69.04,69.04
2023-05-03T11,69.04,69.04,69.04,69.04
2023-05-03T12,69.04,69.04,69.04,69.04
2023-05-03T13,69.04,69.04,69.04,69.04
2023-05-03T14,69.04,69.04,69.04,69.04
2023-05-03T15,69.04,69.04,69.04,69.04
2023-05-03T16,69.04,69.04,69.04,69.04
2023-05-03T17,69.04,69.04,69.04,69.04
2023-05-03T18,69.04,69.04,69.04,69.04
2023-05-03T19,69.04,69.04,69.04,69.04
2023-05-03T20,69.04,69.04,69.04,69.04
2023-05-03T21,69.04,69.04,69.04,69.04
2023-05-03T22,69.04,69.04,69.04,69.04
2023-05-03T23,69.04,69.04,69.04,69.04
2023-05-04T00,69.04,69.04,69.04,69.04
2023-05-04T01,69.04,69.04,69.04,69.04
2023-05-04T02,69.04,69.04,69.04,69.04
2023-05-04T03,69.04,69.04,69.04,69.04
2023-05-04T04,69.04,69.04,69.04,69.04
2023-05-04T05,69.04,69.04,69.04,69.04
2023-05-04T06,69.04,69.04,69.04,69.04
2023-05-04T07,69.04,69.04,69.04,69.04
2023-05-04T08,69.04,69.04,69.04,69.04
2023-05-04T09,69.04,69.04,69.04,69.04
2023-05-04T10,69.04,69.04,69.04,69.04
2023-05-04T11,69.04,69.04,69.04,69.04
2023-05-04T12,69.04,69.04,69.04,69.04
2023-05-04T13,69.04,69.04,69.04,69.04
2023-05-04T14,69.04,69.04,69.04,69.04
2023-05-04T15,69.04,69.04,69.04,69.04
2023-05-04T16,69.04,69.04,69.04,69.04
2023-05-04T17,69.04,69.04,69.04,69.04
2023-05-04T18,69.04,69.04,69.04,69.04
2023-05-04T19,69.04,69.04,69.04,69.04
2023-05-04T20,69.04,69.04,69.04,69.04
2023-05-04T21,69.04,69.04,69.04,69.04
2023-05-04T22,69.04,69.04,69.04,69.04
2023-05-04T23,69.04,69.04,69.04,69.04
2023-05-05T00,69.04,69.04,69.04,69.04
2023-05-05T01,69.04,69.04,69.04,69.04
2023-05-05T02,69.04,69.04,69.04,69.04
2023-05-05T03,69.04,69.04,69.04,69.04
2023-05-05T04,69.04,69.04,69.04,69.04
2023-05-05T05,69.04,69.04,69.04,69.04
2023-05-05T06,69.04,69.04,69.04,69.04
2023-05-05T07,69.04,69.04,69.04,69.04
2023-05-05T08,69.04,69.04,69.04,69.04
2023-05-05T09,69.04,69.04,69.04,69.04
2023-05-05T10,69.04,69.04,69.04,69.04
2023-05-05T11,69.04,69.04,69.04,69.04
2023-05-05T12,69.04,69.04,69.04,69.04
2023-05-05T13,69.04,69.04,69.04,69.04
2023-05-05T14,69.04,69.04,69.04,69.04
2023-05-05T15,69.04,69.04,69.04,69.04
2023-05-05T16,69.04,69.04,69.04,69.04
2023-05-05T17,69.04,69.04,69.04,69.04
2023-05-05T18,69.04,69.04,69.04,69.04
2023-05-05T19,69.04,69.04,69.04,69.04
2023-05-05T20,69.04,69.04,69.04,69.04
2023-05-05T21,69.04,69.04,69.04,69.04
2023-05-05T22,69.04,69.04,69.04,69.04
2023-05-05T23,69.04,69.04,69.04,69.04
2023-05-06T00,69.04,69.04,69.04,69.04
2023-05-06T01,69.04,69.04,69.04,69.04
2023-05-06T02,69.04,69.04,69.04,69.04
2023-05-06T03,69.04,69.04,69.04,69.04
2023-05-06T04,69.04,69.04,69.04,69.04
2023-05-06T05,69.04,69.04,69.04,69.04
2023-05-06T06,69.04,69.04,69.04,69.04
2023-05-06T07,69.04,69.04,69.04,69.04
2023-05-06T08,69.04,69.04,69.04,69.04
2023-05-06T09,69.04,69.04,69.04,69.04
2023-05-06T10,69.04,69.04,69.04,69.04
2023-05-06T11,69.04,69.04,69.04,69.04
2023-05-06T12,69.04,69.04,69.04,69.04
2023-05-06T13,69.04,69.04,69.04,69.04
2023-05-06T14,69.04,69.04,69.04,69.04
2023-05-06T15,69.04,69.04,69.04,69.04
2023-05-06T16,69.04,69.04,69.04,69.04
2023-05-06T17,69.04,69.04,69.04,69.04
2023-05-06T18,69.04,69.04,69.04,69.04
2023-05-06T19,69.04,69.04,69.04,69.04
