semana,submercado,pld
2023-01-07,NE,69.04
2023-01-07,N,69.04
2023-01-07,SE,69.04
2023-01-07,S,69.04
2023-01-14,NE,69.04
2023-01-14,N,69.04
2023-01-14,SE,69.04
2023-01-14,S,69.04
2023-01-21,NE,69.04
2023-01-21,N,69.04
2023-01-21,SE,69.04
2023-01-21,S,69.04
2023-01-28,NE,69.04
2023-01-28,N,69.04
2023-01-28,SE,69.04
2023-01-28,S,69.04
2023-02-04,NE,69.04
2023-02-04,N,69.04
2023-02-04,SE,69.04
2023-02-04,S,69.04
2023-02-11,NE,69.04
2023-02-11,N,69.04
2023-02-11,SE,69.04
2023-02-11,S,69.04
2023-02-18,NE,69.04
2023-02-18,N,69.04
2023-02-18,SE,69.04
2023-02-18,S,69.04
2023-02-25,NE,69.04
2023-02-25,N,69.04
2023-02-25,SE,69.04
2023-02-25,S,69.04
2023-03-04,NE,69.04
2023-03-04,N,69.04
2023-03-04,SE,69.04
2023-03-04,S,69.04
2023-03-11,NE,69.04
2023-03-11,N,69.04
2023-03-11,SE,69.04
2023-03-11,S,69.04
2023-03-18,NE,69.04
2023-03-18,N,69.04
2023-03-18,SE,69.04
2023-03-18,S,69.04
2023-03-25,NE,69.04
2023-03-25,N,69.04
2023-03-25,SE,69.04
2023-03-25,S,69.04
2023-04-01,NE,69.04
2023-04-01,N,69.04
2023-04-01,SE,69.04
2023-04-01,S,69.04
2023-04-08,NE,69.04
2023-04-08,N,69.04
2023-04-08,SE,69.04
2023-04-08,S,69.04
2023-04-15,NE,69.04
2023-04-15,N,69.04
2023-04-15,SE,69.04
2023-04-15,S,69.04
2023-04-22,NE,69.04
2023-04-22,N,69.04
2023-04-22,SE,69.04
2023-04-22,S,69.04
2023-04-29,NE,69.04
2023-04-29,N,69.04
2023-04-29,SE,69.04
2023-04-29,S,69.04
2023-05-06,NE,69.04
2023-05-06,N,69.04
2023-05-06,SE,69.04
2023-05-06,S,69.04
2023-05-13,NE,69.04
2023-05-13,N,69.04
2023-05-13,SE,69.04
2023-05-13,S,69.04
2023-05-20,NE,69.04
2023-05-20,N,69.04
2023-05-20,SE,69.04
2023-05-20,S,69.04
2023-05-27,NE,69.04
2023-05-27,N,69.04
2023-05-27,SE,69.04
2023-05-27,S,69.04
2023-06-03,NE,69.04
2023-06-03,N,69.04
2023-06-03,SE,69.04
2023-06-03,S,69.04
2023-06-10,NE,69.04
2023-06-10,N,69.04
2023-06-10,SE,69.04
2023-06-10,S,69.04
2023-06-17,NE,69.04
2023-06-17,N,69.04
2023-06-17,SE,69.04
2023-06-17,S,69.04
2023-06-24,NE,69.04
2023-06-24,N,69.04
2023-06-24,SE,69.04
2023-06-24,S,69.04
2023-07-01,NE,69.04
2023-07-01,N,69.04
2023-07-01,SE,69.04
2023-07-01,S,69.04
2023-07-08,NE,69.04
2023-07-08,N,69.04
2023-07-08,SE,69.04
2023-07-08,S,69.04
2023-07-15,NE,69.04
2023-07-15,N,69.04
2023-07-15,SE,69.04
2023-07-15,S,69.04
2023-07-22,NE,69.04
2023-07-22,N,69.04
2023-07-22,SE,69.04
2023-07-22,S,69.04
2023-07-29,NE,69.04
2023-07-29,N,69.04
2023-07-29,SE,69.04
2023-07-29,S,69.04
2023-08-05,NE,69.04
2023-08-05,N,69.04
2023-08-05,SE,69.04
2023-08-05,S,69.04
2023-08-12,NE,69.04
2023-08-12,N,69.04
2023-08-12,SE,69.04
2023-08-12,S,69.04
2023-08-19,NE,69.04
2023-08-19,N,69.04
2023-08-19,SE,69.04
2023-08-19,S,69.04
2023-08-26,NE,69.04
2023-08-26,N,69.04
2023-08-26,SE,69.04
2023-08-26,S,69.04
2023-09-02,NE,69.04
2023-09-02,N,69.04
2023-09-02,SE,69.04
2023-09-02,S,69.04
2023-09-09,NE,69.04
2023-09-09,N,69.04
2023-09-09,SE,69.04
2023-09-09,S,69.04
2023-09-16,NE,69.04
2023-09-16,N,69.04
2023-09-16,SE,69.04
2023-09-16,S,69.04
2023-09-23,NE,117.59
2023-09-23,N,117.59
2023-09-23,SE,117.59
2023-09-23,S,117.59
2023-09-30,NE,71.6
2023-09-30,N,71.6
2023-09-30,SE,71.6
2023-09-30,S,71.6
2023-10-07,NE,69.04
2023-10-07,N,69.04
2023-10-07,SE,69.04
2023-10-07,S,69.04
2023-10-14,NE,69.04
2023-10-14,N,69.04
2023-10-14,SE,69.04
2023-10-14,S,69.04
2023-10-21,NE,87.51
2023-10-21,N,87.51
2023-10-21,SE,87.51
2023-10-21,S,87.51
2023-10-28,NE,73.72
2023-10-28,N,73.72
